The model has 22,673,341 trainable parameters
Epoch: 01 | Time: 0m 46s
	Train Loss: 5.111 | Train PPL: 165.771
	 Val. Loss: 4.725 |  Val. PPL: 112.698
Epoch: 02 | Time: 0m 47s
	Train Loss: 4.501 | Train PPL: 90.150
	 Val. Loss: 4.588 |  Val. PPL: 98.300
Epoch: 03 | Time: 0m 47s
	Train Loss: 4.084 | Train PPL: 59.407
	 Val. Loss: 4.372 |  Val. PPL: 79.164
Epoch: 04 | Time: 0m 47s
	Train Loss: 3.830 | Train PPL: 46.057
	 Val. Loss: 4.214 |  Val. PPL: 67.658
Epoch: 05 | Time: 0m 47s
	Train Loss: 3.626 | Train PPL: 37.555
	 Val. Loss: 4.072 |  Val. PPL: 58.675
Epoch: 06 | Time: 0m 46s
	Train Loss: 3.434 | Train PPL: 31.012
	 Val. Loss: 3.924 |  Val. PPL: 50.604
Epoch: 07 | Time: 0m 47s
	Train Loss: 3.286 | Train PPL: 26.723
	 Val. Loss: 3.839 |  Val. PPL: 46.475
Epoch: 08 | Time: 0m 47s
	Train Loss: 3.139 | Train PPL: 23.090
	 Val. Loss: 3.784 |  Val. PPL: 43.992
Epoch: 09 | Time: 0m 47s
	Train Loss: 3.011 | Train PPL: 20.298
	 Val. Loss: 3.686 |  Val. PPL: 39.893
Epoch: 10 | Time: 0m 47s
	Train Loss: 2.862 | Train PPL: 17.501
	 Val. Loss: 3.575 |  Val. PPL: 35.687
Epoch: 11 | Time: 0m 47s
	Train Loss: 2.745 | Train PPL: 15.565
	 Val. Loss: 3.584 |  Val. PPL: 36.004
Epoch: 12 | Time: 0m 47s
	Train Loss: 2.625 | Train PPL: 13.806
	 Val. Loss: 3.521 |  Val. PPL: 33.815
Epoch: 13 | Time: 0m 47s
	Train Loss: 2.496 | Train PPL: 12.136
	 Val. Loss: 3.537 |  Val. PPL: 34.375
Epoch: 14 | Time: 0m 47s
	Train Loss: 2.413 | Train PPL: 11.165
	 Val. Loss: 3.500 |  Val. PPL: 33.108
Epoch: 15 | Time: 0m 47s
	Train Loss: 2.306 | Train PPL: 10.030
	 Val. Loss: 3.485 |  Val. PPL: 32.624
Epoch: 16 | Time: 0m 47s
	Train Loss: 2.207 | Train PPL: 9.091
	 Val. Loss: 3.436 |  Val. PPL: 31.074
Epoch: 17 | Time: 0m 47s
	Train Loss: 2.129 | Train PPL: 8.409
	 Val. Loss: 3.404 |  Val. PPL: 30.097
Epoch: 18 | Time: 0m 47s
	Train Loss: 2.024 | Train PPL: 7.571
	 Val. Loss: 3.465 |  Val. PPL: 31.992
Epoch: 19 | Time: 0m 47s
	Train Loss: 1.938 | Train PPL: 6.944
	 Val. Loss: 3.454 |  Val. PPL: 31.637
Epoch: 20 | Time: 0m 47s
	Train Loss: 1.868 | Train PPL: 6.476
	 Val. Loss: 3.512 |  Val. PPL: 33.502
Epoch: 21 | Time: 0m 47s
	Train Loss: 1.784 | Train PPL: 5.952
	 Val. Loss: 3.445 |  Val. PPL: 31.348
Epoch: 22 | Time: 0m 47s
	Train Loss: 1.729 | Train PPL: 5.633
	 Val. Loss: 3.521 |  Val. PPL: 33.811
Epoch: 23 | Time: 0m 47s
	Train Loss: 1.664 | Train PPL: 5.279
	 Val. Loss: 3.500 |  Val. PPL: 33.132
Epoch: 24 | Time: 0m 47s
	Train Loss: 1.586 | Train PPL: 4.883
	 Val. Loss: 3.562 |  Val. PPL: 35.250
Epoch: 25 | Time: 0m 47s
	Train Loss: 1.511 | Train PPL: 4.532
	 Val. Loss: 3.598 |  Val. PPL: 36.518
Epoch: 26 | Time: 0m 47s
	Train Loss: 1.463 | Train PPL: 4.319
	 Val. Loss: 3.511 |  Val. PPL: 33.495
Epoch: 27 | Time: 0m 47s
	Train Loss: 1.391 | Train PPL: 4.019
	 Val. Loss: 3.609 |  Val. PPL: 36.939
Epoch: 28 | Time: 0m 47s
	Train Loss: 1.324 | Train PPL: 3.757
	 Val. Loss: 3.685 |  Val. PPL: 39.864
Epoch: 29 | Time: 0m 47s
	Train Loss: 1.271 | Train PPL: 3.564
	 Val. Loss: 3.702 |  Val. PPL: 40.540
Epoch: 30 | Time: 0m 47s
	Train Loss: 1.226 | Train PPL: 3.408
	 Val. Loss: 3.670 |  Val. PPL: 39.257
Epoch: 31 | Time: 0m 48s
	Train Loss: 1.168 | Train PPL: 3.214
	 Val. Loss: 3.758 |  Val. PPL: 42.870
Epoch: 32 | Time: 0m 49s
	Train Loss: 1.122 | Train PPL: 3.072
	 Val. Loss: 3.757 |  Val. PPL: 42.835
Epoch: 33 | Time: 0m 48s
	Train Loss: 1.071 | Train PPL: 2.917
	 Val. Loss: 3.830 |  Val. PPL: 46.066
Epoch: 34 | Time: 0m 47s
	Train Loss: 1.021 | Train PPL: 2.777
	 Val. Loss: 3.888 |  Val. PPL: 48.791
Epoch: 35 | Time: 0m 48s
	Train Loss: 0.983 | Train PPL: 2.671
	 Val. Loss: 3.851 |  Val. PPL: 47.023
Epoch: 36 | Time: 0m 47s
	Train Loss: 0.938 | Train PPL: 2.555
	 Val. Loss: 3.965 |  Val. PPL: 52.719
Epoch: 37 | Time: 0m 48s
	Train Loss: 0.901 | Train PPL: 2.461
	 Val. Loss: 3.972 |  Val. PPL: 53.115
Epoch: 38 | Time: 0m 48s
	Train Loss: 0.862 | Train PPL: 2.367
	 Val. Loss: 4.043 |  Val. PPL: 56.992
Epoch: 39 | Time: 0m 49s
	Train Loss: 0.838 | Train PPL: 2.313
	 Val. Loss: 4.085 |  Val. PPL: 59.442
Epoch: 40 | Time: 0m 49s
	Train Loss: 0.791 | Train PPL: 2.206
	 Val. Loss: 4.137 |  Val. PPL: 62.638
Epoch: 41 | Time: 0m 49s
	Train Loss: 0.753 | Train PPL: 2.122
	 Val. Loss: 4.194 |  Val. PPL: 66.255
Epoch: 42 | Time: 0m 49s
	Train Loss: 0.724 | Train PPL: 2.064
	 Val. Loss: 4.277 |  Val. PPL: 72.002
Epoch: 43 | Time: 0m 49s
	Train Loss: 0.688 | Train PPL: 1.989
	 Val. Loss: 4.234 |  Val. PPL: 68.994
Epoch: 44 | Time: 0m 49s
	Train Loss: 0.662 | Train PPL: 1.940
	 Val. Loss: 4.261 |  Val. PPL: 70.913
Epoch: 45 | Time: 0m 48s
	Train Loss: 0.641 | Train PPL: 1.899
	 Val. Loss: 4.376 |  Val. PPL: 79.546
Epoch: 46 | Time: 0m 50s
	Train Loss: 0.622 | Train PPL: 1.862
	 Val. Loss: 4.374 |  Val. PPL: 79.370
Epoch: 47 | Time: 0m 48s
	Train Loss: 0.584 | Train PPL: 1.793
	 Val. Loss: 4.431 |  Val. PPL: 84.042
Epoch: 48 | Time: 0m 48s
	Train Loss: 0.561 | Train PPL: 1.752
	 Val. Loss: 4.492 |  Val. PPL: 89.290
Epoch: 49 | Time: 0m 48s
	Train Loss: 0.539 | Train PPL: 1.714
	 Val. Loss: 4.508 |  Val. PPL: 90.731
Epoch: 50 | Time: 0m 48s
	Train Loss: 0.509 | Train PPL: 1.663
	 Val. Loss: 4.548 |  Val. PPL: 94.451
