The model has 10,065,853 trainable parameters
Epoch: 01 | Time: 0m 24s
	Train Loss: 4.937 | Train PPL: 139.343
	 Val. Loss: 5.014 |  Val. PPL: 150.513
Epoch: 02 | Time: 0m 24s
	Train Loss: 4.273 | Train PPL: 71.757
	 Val. Loss: 4.661 |  Val. PPL: 105.782
Epoch: 03 | Time: 0m 23s
	Train Loss: 3.937 | Train PPL: 51.288
	 Val. Loss: 4.444 |  Val. PPL: 85.151
Epoch: 04 | Time: 0m 24s
	Train Loss: 3.713 | Train PPL: 40.968
	 Val. Loss: 4.352 |  Val. PPL: 77.671
Epoch: 05 | Time: 0m 24s
	Train Loss: 3.485 | Train PPL: 32.618
	 Val. Loss: 4.169 |  Val. PPL: 64.646
Epoch: 06 | Time: 0m 24s
	Train Loss: 3.249 | Train PPL: 25.774
	 Val. Loss: 3.948 |  Val. PPL: 51.852
Epoch: 07 | Time: 0m 24s
	Train Loss: 3.027 | Train PPL: 20.631
	 Val. Loss: 3.804 |  Val. PPL: 44.888
Epoch: 08 | Time: 0m 24s
	Train Loss: 2.827 | Train PPL: 16.897
	 Val. Loss: 3.693 |  Val. PPL: 40.179
Epoch: 09 | Time: 0m 24s
	Train Loss: 2.639 | Train PPL: 14.002
	 Val. Loss: 3.641 |  Val. PPL: 38.147
Epoch: 10 | Time: 0m 24s
	Train Loss: 2.487 | Train PPL: 12.031
	 Val. Loss: 3.533 |  Val. PPL: 34.234
Epoch: 11 | Time: 0m 23s
	Train Loss: 2.352 | Train PPL: 10.507
	 Val. Loss: 3.607 |  Val. PPL: 36.853
Epoch: 12 | Time: 0m 24s
	Train Loss: 2.232 | Train PPL: 9.317
	 Val. Loss: 3.491 |  Val. PPL: 32.833
Epoch: 13 | Time: 0m 23s
	Train Loss: 2.065 | Train PPL: 7.884
	 Val. Loss: 3.498 |  Val. PPL: 33.036
Epoch: 14 | Time: 0m 23s
	Train Loss: 1.951 | Train PPL: 7.033
	 Val. Loss: 3.508 |  Val. PPL: 33.367
Epoch: 15 | Time: 0m 24s
	Train Loss: 1.811 | Train PPL: 6.114
	 Val. Loss: 3.544 |  Val. PPL: 34.613
Epoch: 16 | Time: 0m 24s
	Train Loss: 1.711 | Train PPL: 5.533
	 Val. Loss: 3.529 |  Val. PPL: 34.097
Epoch: 17 | Time: 0m 24s
	Train Loss: 1.601 | Train PPL: 4.958
	 Val. Loss: 3.549 |  Val. PPL: 34.763
Epoch: 18 | Time: 0m 24s
	Train Loss: 1.507 | Train PPL: 4.513
	 Val. Loss: 3.574 |  Val. PPL: 35.656
Epoch: 19 | Time: 0m 24s
	Train Loss: 1.399 | Train PPL: 4.050
	 Val. Loss: 3.643 |  Val. PPL: 38.189
Epoch: 20 | Time: 0m 24s
	Train Loss: 1.305 | Train PPL: 3.689
	 Val. Loss: 3.701 |  Val. PPL: 40.476
Epoch: 21 | Time: 0m 24s
	Train Loss: 1.204 | Train PPL: 3.333
	 Val. Loss: 3.776 |  Val. PPL: 43.636
Epoch: 22 | Time: 0m 24s
	Train Loss: 1.135 | Train PPL: 3.111
	 Val. Loss: 3.781 |  Val. PPL: 43.863
Epoch: 23 | Time: 0m 24s
	Train Loss: 1.034 | Train PPL: 2.812
	 Val. Loss: 3.842 |  Val. PPL: 46.642
Epoch: 24 | Time: 0m 24s
	Train Loss: 0.980 | Train PPL: 2.664
	 Val. Loss: 3.931 |  Val. PPL: 50.975
Epoch: 25 | Time: 0m 24s
	Train Loss: 0.895 | Train PPL: 2.448
	 Val. Loss: 3.991 |  Val. PPL: 54.125
Epoch: 26 | Time: 0m 24s
	Train Loss: 0.828 | Train PPL: 2.289
