The model has 21,027,541 trainable parameters
Epoch: 01 | Time: 0m 43s
	Train Loss: 5.106 | Train PPL: 165.051
	 Val. Loss: 4.937 |  Val. PPL: 139.344
Epoch: 02 | Time: 0m 43s
	Train Loss: 4.521 | Train PPL: 91.919
	 Val. Loss: 4.818 |  Val. PPL: 123.755
Epoch: 03 | Time: 0m 44s
	Train Loss: 4.142 | Train PPL: 62.938
	 Val. Loss: 4.773 |  Val. PPL: 118.223
Epoch: 04 | Time: 0m 43s
	Train Loss: 3.970 | Train PPL: 52.988
	 Val. Loss: 4.524 |  Val. PPL: 92.184
Epoch: 05 | Time: 0m 44s
	Train Loss: 3.789 | Train PPL: 44.221
	 Val. Loss: 4.319 |  Val. PPL: 75.089
Epoch: 06 | Time: 0m 44s
	Train Loss: 3.620 | Train PPL: 37.341
	 Val. Loss: 4.164 |  Val. PPL: 64.345
Epoch: 07 | Time: 0m 44s
	Train Loss: 3.458 | Train PPL: 31.764
	 Val. Loss: 4.095 |  Val. PPL: 60.042
Epoch: 08 | Time: 0m 43s
	Train Loss: 3.309 | Train PPL: 27.368
	 Val. Loss: 4.057 |  Val. PPL: 57.814
Epoch: 09 | Time: 0m 44s
	Train Loss: 3.173 | Train PPL: 23.873
	 Val. Loss: 3.911 |  Val. PPL: 49.968
Epoch: 10 | Time: 0m 43s
	Train Loss: 3.061 | Train PPL: 21.355
	 Val. Loss: 3.914 |  Val. PPL: 50.113
Epoch: 11 | Time: 0m 43s
	Train Loss: 2.919 | Train PPL: 18.521
	 Val. Loss: 3.801 |  Val. PPL: 44.768
Epoch: 12 | Time: 0m 44s
	Train Loss: 2.811 | Train PPL: 16.628
	 Val. Loss: 3.691 |  Val. PPL: 40.091
Epoch: 13 | Time: 0m 43s
	Train Loss: 2.685 | Train PPL: 14.658
	 Val. Loss: 3.752 |  Val. PPL: 42.598
Epoch: 14 | Time: 0m 44s
	Train Loss: 2.580 | Train PPL: 13.195
	 Val. Loss: 3.681 |  Val. PPL: 39.692
Epoch: 15 | Time: 0m 43s
