The model has 70,992,317 trainable parameters
Epoch: 01 | Time: 1m 47s
	Train Loss: 5.075 | Train PPL: 160.039
	 Val. Loss: 5.012 |  Val. PPL: 150.232
Epoch: 02 | Time: 1m 47s
	Train Loss: 4.538 | Train PPL: 93.507
	 Val. Loss: 4.599 |  Val. PPL: 99.386
Epoch: 03 | Time: 1m 47s
	Train Loss: 4.044 | Train PPL: 57.070
	 Val. Loss: 4.421 |  Val. PPL: 83.162
Epoch: 04 | Time: 1m 47s
	Train Loss: 3.754 | Train PPL: 42.674
	 Val. Loss: 4.257 |  Val. PPL: 70.567
Epoch: 05 | Time: 1m 47s
	Train Loss: 3.543 | Train PPL: 34.564
	 Val. Loss: 4.124 |  Val. PPL: 61.798
Epoch: 06 | Time: 1m 47s
	Train Loss: 3.401 | Train PPL: 30.007
	 Val. Loss: 4.005 |  Val. PPL: 54.892
Epoch: 07 | Time: 1m 47s
	Train Loss: 3.209 | Train PPL: 24.746
	 Val. Loss: 3.994 |  Val. PPL: 54.257
Epoch: 08 | Time: 1m 47s
	Train Loss: 3.084 | Train PPL: 21.845
	 Val. Loss: 3.859 |  Val. PPL: 47.440
Epoch: 09 | Time: 1m 47s
	Train Loss: 2.897 | Train PPL: 18.111
	 Val. Loss: 3.913 |  Val. PPL: 50.027
Epoch: 10 | Time: 1m 47s
	Train Loss: 2.763 | Train PPL: 15.853
	 Val. Loss: 3.962 |  Val. PPL: 52.571
Epoch: 11 | Time: 1m 47s
	Train Loss: 2.658 | Train PPL: 14.271
	 Val. Loss: 3.835 |  Val. PPL: 46.273
Epoch: 12 | Time: 1m 47s
	Train Loss: 2.503 | Train PPL: 12.213
	 Val. Loss: 3.858 |  Val. PPL: 47.374
Epoch: 13 | Time: 1m 47s
	Train Loss: 2.376 | Train PPL: 10.758
	 Val. Loss: 3.847 |  Val. PPL: 46.854
Epoch: 14 | Time: 1m 46s
	Train Loss: 2.262 | Train PPL: 9.605
	 Val. Loss: 3.836 |  Val. PPL: 46.361
Epoch: 15 | Time: 1m 47s
	Train Loss: 2.123 | Train PPL: 8.353
	 Val. Loss: 3.918 |  Val. PPL: 50.323
Epoch: 16 | Time: 1m 46s
	Train Loss: 1.982 | Train PPL: 7.259
	 Val. Loss: 3.919 |  Val. PPL: 50.351
